8 * 2 * 22 * 97 = 34144   -->solution=0
54 * 69 * 16 * 92 = 5484672   -->solution=48477312
69 * 16 * 92 * 33 = 3351744   -->solution=48477312
16 * 92 * 33 * 48 = 2331648   -->solution=48477312
92 * 33 * 48 * 61 = 8889408   -->solution=48477312
33 * 48 * 61 * 43 = 4154832   -->solution=48477312
48 * 61 * 43 * 52 = 6547008   -->solution=48477312
61 * 43 * 52 * 1 = 136396   -->solution=48477312
43 * 52 * 1 * 89 = 199004   -->solution=48477312
52 * 1 * 89 * 19 = 87932   -->solution=48477312
1 * 89 * 19 * 67 = 113297   -->solution=48477312
89 * 19 * 67 * 48 = 5438256   -->solution=48477312


--------------------------------------------------------------------------------------------

8 * 49 * 81 * 52=1651104  -->solution=48477312
49 * 81 * 52 * 22=4540536  -->solution=48477312
81 * 52 * 22 * 24=2223936  -->solution=48477312
52 * 22 * 24 * 32=878592  -->solution=48477312
22 * 24 * 32 * 67=1132032  -->solution=48477312
24 * 32 * 67 * 24=1234944  -->solution=48477312
32 * 67 * 24 * 21=1080576  -->solution=48477312
67 * 24 * 21 * 78=2633904  -->solution=48477312
24 * 21 * 78 * 16=628992  -->solution=48477312
21 * 78 * 16 * 86=2253888  -->solution=48477312
78 * 16 * 86 * 19=2039232  -->solution=48477312
16 * 86 * 19 * 4=104576  -->solution=48477312
86 * 19 * 4 * 88=575168  -->solution=48477312
19 * 4 * 88 * 4=26752  -->solution=48477312
4 * 88 * 4 * 20=28160  -->solution=48477312
88 * 4 * 20 * 20=140800  -->solution=48477312
4 * 20 * 20 * 1=1600  -->solution=48477312

2 * 49 * 49 * 70=336140  -->solution=48477312
49 * 49 * 70 * 31=5210170  -->solution=48477312
49 * 70 * 31 * 47=4997510  -->solution=48477312
70 * 31 * 47 * 98=9995020  -->solution=48477312
31 * 47 * 98 * 26=3712436  -->solution=48477312
47 * 98 * 26 * 55=6586580  -->solution=48477312
98 * 26 * 55 * 36=5045040  -->solution=48477312
26 * 55 * 36 * 17=875160  -->solution=48477312
55 * 36 * 17 * 39=1312740  -->solution=48477312
36 * 17 * 39 * 56=1336608  -->solution=48477312
17 * 39 * 56 * 80=2970240  -->solution=48477312
39 * 56 * 80 * 52=9085440  -->solution=48477312
56 * 80 * 52 * 36=8386560  -->solution=48477312
80 * 52 * 36 * 42=6289920  -->solution=48477312
52 * 36 * 42 * 69=5425056  -->solution=48477312
36 * 42 * 69 * 73=7615944  -->solution=48477312
42 * 69 * 73 * 70=14808780  -->solution=48477312

22 * 99 * 31 * 95=6414210  -->solution=48477312
99 * 31 * 95 * 16=4664880  -->solution=48477312
31 * 95 * 16 * 32=1507840  -->solution=48477312
95 * 16 * 32 * 81=3939840  -->solution=48477312
16 * 32 * 81 * 20=829440  -->solution=48477312
32 * 81 * 20 * 58=3006720  -->solution=48477312
81 * 20 * 58 * 23=2161080  -->solution=48477312
20 * 58 * 23 * 53=1414040  -->solution=48477312
58 * 23 * 53 * 5=353510  -->solution=48477312
23 * 53 * 5 * 0=0  -->solution=48477312
53 * 5 * 0 * 81=0  -->solution=48477312
5 * 0 * 81 * 8=0  -->solution=48477312
0 * 81 * 8 * 68=0  -->solution=48477312
81 * 8 * 68 * 16=705024  -->solution=48477312
8 * 68 * 16 * 36=313344  -->solution=48477312
68 * 16 * 36 * 35=1370880  -->solution=48477312
16 * 36 * 35 * 54=1088640  -->solution=48477312

97 * 40 * 73 * 23=6514520  -->solution=48477312
40 * 73 * 23 * 71=4768360  -->solution=48477312
73 * 23 * 71 * 60=7152540  -->solution=48477312
23 * 71 * 60 * 28=2743440  -->solution=48477312
71 * 60 * 28 * 68=8111040  -->solution=48477312
60 * 28 * 68 * 5=571200  -->solution=48477312
28 * 68 * 5 * 9=85680  -->solution=48477312
68 * 5 * 9 * 28=85680  -->solution=48477312
5 * 9 * 28 * 42=52920  -->solution=48477312
9 * 28 * 42 * 48=508032  -->solution=48477312
28 * 42 * 48 * 68=3838464  -->solution=48477312
42 * 48 * 68 * 83=11378304  -->solution=48477312
48 * 68 * 83 * 87=23569344  -->solution=48477312
68 * 83 * 87 * 73=35845044  -->solution=48477312
83 * 87 * 73 * 41=21612453  -->solution=48477312
87 * 73 * 41 * 29=7551339  -->solution=48477312
73 * 41 * 29 * 71=6162587  -->solution=48477312

38 * 17 * 55 * 4=142120  -->solution=48477312
17 * 55 * 4 * 51=190740  -->solution=48477312
55 * 4 * 51 * 99=1110780  -->solution=48477312
4 * 51 * 99 * 64=1292544  -->solution=48477312
51 * 99 * 64 * 2=646272  -->solution=48477312
99 * 64 * 2 * 66=836352  -->solution=48477312
64 * 2 * 66 * 75=633600  -->solution=48477312
2 * 66 * 75 * 22=217800  -->solution=48477312
66 * 75 * 22 * 96=10454400  -->solution=48477312
75 * 22 * 96 * 35=5544000  -->solution=48477312
22 * 96 * 35 * 5=369600  -->solution=48477312
96 * 35 * 5 * 97=1629600  -->solution=48477312
35 * 5 * 97 * 57=967575  -->solution=48477312
5 * 97 * 57 * 38=1050510  -->solution=48477312
97 * 57 * 38 * 72=15127344  -->solution=48477312
57 * 38 * 72 * 78=12164256  -->solution=48477312
38 * 72 * 78 * 83=17712864  -->solution=48477312

15 * 81 * 79 * 60=5759100  -->solution=48477312
81 * 79 * 60 * 67=25723980  -->solution=48477312
79 * 60 * 67 * 3=952740  -->solution=48477312
60 * 67 * 3 * 23=277380  -->solution=48477312
67 * 3 * 23 * 62=286626  -->solution=48477312
3 * 23 * 62 * 73=312294  -->solution=48477312
23 * 62 * 73 * 0=0  -->solution=48477312
62 * 73 * 0 * 75=0  -->solution=48477312
73 * 0 * 75 * 35=0  -->solution=48477312
0 * 75 * 35 * 71=0  -->solution=48477312
75 * 35 * 71 * 94=17519250  -->solution=48477312
35 * 71 * 94 * 35=8175650  -->solution=48477312
71 * 94 * 35 * 62=14482580  -->solution=48477312
94 * 35 * 62 * 25=5099500  -->solution=48477312
35 * 62 * 25 * 30=1627500  -->solution=48477312
62 * 25 * 30 * 31=1441500  -->solution=48477312
25 * 30 * 31 * 51=1185750  -->solution=48477312

0 * 18 * 14 * 11=0  -->solution=48477312
18 * 14 * 11 * 63=174636  -->solution=48477312
14 * 11 * 63 * 45=436590  -->solution=48477312
11 * 63 * 45 * 67=2089395  -->solution=48477312
63 * 45 * 67 * 12=2279340  -->solution=48477312
45 * 67 * 12 * 99=3581820  -->solution=48477312
67 * 12 * 99 * 76=6049296  -->solution=48477312
12 * 99 * 76 * 31=2798928  -->solution=48477312
99 * 76 * 31 * 31=7230564  -->solution=48477312
76 * 31 * 31 * 89=6500204  -->solution=48477312
31 * 31 * 89 * 47=4019863  -->solution=48477312
31 * 89 * 47 * 99=12837627  -->solution=48477312
89 * 47 * 99 * 20=8282340  -->solution=48477312
47 * 99 * 20 * 39=3629340  -->solution=48477312
99 * 20 * 39 * 23=1776060  -->solution=48477312
20 * 39 * 23 * 90=1614600  -->solution=48477312
39 * 23 * 90 * 54=4359420  -->solution=48477312

40 * 57 * 29 * 42=2777040  -->solution=48477312
